dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R203,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,1257.698348,True,0,12.498816,False,False,False,3,939.50,1,33.868903,False,SINTEF VRPTW 100 customers
R203,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,1333.267123,True,0,4.467061,True,True,True,3,939.50,0,41.912413,True,SINTEF VRPTW 100 customers
R203,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,1257.698348,True,0,12.332080,True,False,False,3,939.50,1,33.868903,False,SINTEF VRPTW 100 customers
R204,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,1088.114969,True,0,16.862677,False,False,False,2,825.52,2,31.809643,False,SINTEF VRPTW 100 customers
R204,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,1071.877661,True,0,2.276987,True,True,True,2,825.52,1,29.842725,False,SINTEF VRPTW 100 customers
R204,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,1088.114969,True,0,16.837897,True,False,False,2,825.52,2,31.809643,False,SINTEF VRPTW 100 customers
R205,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,1451.156783,True,0,2.534479,False,False,False,3,994.43,1,45.928500,False,SINTEF VRPTW 100 customers
R205,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1451.156783,True,0,2.588326,True,True,True,3,994.43,1,45.928500,False,SINTEF VRPTW 100 customers
R205,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,1451.156783,True,0,2.535418,True,False,False,3,994.43,1,45.928500,False,SINTEF VRPTW 100 customers
R206,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,1227.366819,True,0,8.357212,False,False,False,3,906.14,1,35.450021,False,SINTEF VRPTW 100 customers
R206,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,1276.088931,True,0,2.221097,True,True,True,3,906.14,0,40.826907,True,SINTEF VRPTW 100 customers
R206,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,1227.366819,True,0,8.357874,True,False,False,3,906.14,1,35.450021,False,SINTEF VRPTW 100 customers
R207,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,1267.526798,True,0,9.435758,False,False,False,2,890.61,2,42.321195,False,SINTEF VRPTW 100 customers
R207,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,1233.194265,True,0,4.123955,True,True,True,2,890.61,1,38.466250,False,SINTEF VRPTW 100 customers
R207,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,1267.526798,True,0,9.466827,True,False,False,2,890.61,2,42.321195,False,SINTEF VRPTW 100 customers
R208,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,3,981.260004,True,0,9.021254,False,False,False,2,726.82,1,35.007293,False,SINTEF VRPTW 100 customers
R208,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,981.260004,True,0,9.109583,True,True,True,2,726.82,1,35.007293,False,SINTEF VRPTW 100 customers
R208,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,3,981.260004,True,0,8.995090,True,False,False,2,726.82,1,35.007293,False,SINTEF VRPTW 100 customers
R209,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1212.996138,True,0,9.844022,False,False,False,3,909.16,2,33.419435,False,SINTEF VRPTW 100 customers
R209,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1299.004757,True,0,4.449666,True,True,True,3,909.16,1,42.879664,False,SINTEF VRPTW 100 customers
R209,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1212.996138,True,0,9.862427,True,False,False,3,909.16,2,33.419435,False,SINTEF VRPTW 100 customers
