dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
R102,regret_insertion,fast_repair_merge_elim,21,2493.269607,True,0,0.360464
R102,regret_insertion,full_ftv,21,2002.578756,True,0,0.360464
R103,greedy_insertion,fast_only,18,1971.499741,True,0,0.358022
R103,greedy_insertion,fast_repair,18,1971.499741,True,0,0.358022
R103,greedy_insertion,fast_repair_merge,18,1971.499741,True,0,0.358022
R103,greedy_insertion,fast_repair_merge_elim,15,1759.109060,True,0,0.358022
R103,greedy_insertion,full_ftv,15,1444.527036,True,0,0.358022
R103,nearest_neighbor,fast_only,25,1972.041564,True,0,0.007036
R103,nearest_neighbor,fast_repair,25,1972.041564,True,0,0.007036
R103,nearest_neighbor,fast_repair_merge,18,1828.555859,True,0,0.007036
R103,nearest_neighbor,fast_repair_merge_elim,15,1710.652113,True,0,0.007036
R103,nearest_neighbor,full_ftv,15,1609.009570,True,0,0.007036
R103,regret_insertion,fast_only,18,2403.748214,True,0,0.374981
R103,regret_insertion,fast_repair,18,2403.748214,True,0,0.374981
R103,regret_insertion,fast_repair_merge,18,2403.748214,True,0,0.374981
R103,regret_insertion,fast_repair_merge_elim,18,2403.748214,True,0,0.374981
R103,regret_insertion,full_ftv,16,1755.250652,True,0,0.374981
R104,greedy_insertion,fast_only,12,1348.933971,True,0,0.395804
R104,greedy_insertion,fast_repair,12,1348.933971,True,0,0.395804
R104,greedy_insertion,fast_repair_merge,12,1348.933971,True,0,0.395804
R104,greedy_insertion,fast_repair_merge_elim,11,1309.459627,True,0,0.395804
R104,greedy_insertion,full_ftv,11,1222.078989,True,0,0.395804
R104,nearest_neighbor,fast_only,18,1519.349559,True,0,0.006418
R104,nearest_neighbor,fast_repair,18,1519.349559,True,0,0.006418
R104,nearest_neighbor,fast_repair_merge,14,1453.296594,True,0,0.006418
R104,nearest_neighbor,fast_repair_merge_elim,11,1275.168753,True,0,0.006418
R104,nearest_neighbor,full_ftv,11,1223.784051,True,0,0.006418
R104,regret_insertion,fast_only,18,2907.215138,True,0,0.425132
R104,regret_insertion,fast_repair,18,2907.215138,True,0,0.425132
R104,regret_insertion,fast_repair_merge,18,2907.215138,True,0,0.425132
R104,regret_insertion,fast_repair_merge_elim,18,2907.215138,True,0,0.425132
R104,regret_insertion,full_ftv,16,2146.053479,True,0,0.425132
R105,greedy_insertion,fast_only,17,1834.944390,True,0,0.320556
R105,greedy_insertion,fast_repair,17,1834.944390,True,0,0.320556
R105,greedy_insertion,fast_repair_merge,17,1834.944390,True,0,0.320556
R105,greedy_insertion,fast_repair_merge_elim,16,1792.180047,True,0,0.320556
R105,greedy_insertion,full_ftv,16,1504.366936,True,0,0.320556
R105,nearest_neighbor,fast_only,27,2238.600462,False,1,0.007818
R105,nearest_neighbor,fast_repair,27,2238.600462,False,1,0.007818
R105,nearest_neighbor,fast_repair_merge,23,2177.224477,True,0,0.007818
R105,nearest_neighbor,fast_repair_merge_elim,17,1790.403992,True,0,0.007818
R105,nearest_neighbor,full_ftv,17,1630.795415,True,0,0.007818
R105,regret_insertion,fast_only,22,2762.145296,True,0,0.344705
R105,regret_insertion,fast_repair,22,2762.145296,True,0,0.344705
R105,regret_insertion,fast_repair_merge,22,2762.145296,True,0,0.344705
R105,regret_insertion,fast_repair_merge_elim,20,2535.169469,True,0,0.344705
R105,regret_insertion,full_ftv,20,2188.716046,True,0,0.344705
R106,greedy_insertion,fast_only,16,1813.982227,True,0,0.330047
R106,greedy_insertion,fast_repair,16,1813.982227,True,0,0.330047
R106,greedy_insertion,fast_repair_merge,16,1813.982227,True,0,0.330047
R106,greedy_insertion,fast_repair_merge_elim,16,1813.982227,True,0,0.330047
R106,greedy_insertion,full_ftv,16,1451.492498,True,0,0.330047
R106,nearest_neighbor,fast_only,28,2168.738641,False,1,0.007309
R106,nearest_neighbor,fast_repair,28,2168.738641,False,1,0.007309
R106,nearest_neighbor,fast_repair_merge,20,2110.466367,True,0,0.007309
R106,nearest_neighbor,fast_repair_merge_elim,16,1838.461963,True,0,0.007309
R106,nearest_neighbor,full_ftv,16,1742.064430,True,0,0.007309
R106,regret_insertion,fast_only,19,2831.994750,True,0,0.374893
R106,regret_insertion,fast_repair,19,2831.994750,True,0,0.374893
R106,regret_insertion,fast_repair_merge,19,2831.994750,True,0,0.374893
R106,regret_insertion,fast_repair_merge_elim,18,2740.879371,True,0,0.374893
R106,regret_insertion,full_ftv,16,2238.876089,True,0,0.374893
R107,greedy_insertion,fast_only,14,1671.539602,True,0,0.363179
R107,greedy_insertion,fast_repair,14,1671.539602,True,0,0.363179
R107,greedy_insertion,fast_repair_merge,14,1671.539602,True,0,0.363179
R107,greedy_insertion,fast_repair_merge_elim,12,1475.273984,True,0,0.363179
R107,greedy_insertion,full_ftv,12,1309.387818,True,0,0.363179
R107,nearest_neighbor,fast_only,21,1818.549641,True,0,0.006873
R107,nearest_neighbor,fast_repair,21,1818.549641,True,0,0.006873
R107,nearest_neighbor,fast_repair_merge,16,1720.618521,True,0,0.006873
R107,nearest_neighbor,fast_repair_merge_elim,13,1511.640465,True,0,0.006873
R107,nearest_neighbor,full_ftv,13,1401.737516,True,0,0.006873
R107,regret_insertion,fast_only,19,3050.015102,True,0,0.413074
R107,regret_insertion,fast_repair,19,3050.015102,True,0,0.413074
R107,regret_insertion,fast_repair_merge,19,3050.015102,True,0,0.413074
R107,regret_insertion,fast_repair_merge_elim,18,2985.433557,True,0,0.413074
R107,regret_insertion,full_ftv,17,2482.509404,True,0,0.413074
R108,greedy_insertion,fast_only,12,1364.563284,True,0,0.396098
R108,greedy_insertion,fast_repair,12,1364.563284,True,0,0.396098
R108,greedy_insertion,fast_repair_merge,12,1364.563284,True,0,0.396098
R108,greedy_insertion,fast_repair_merge_elim,11,1289.043558,True,0,0.396098
R108,greedy_insertion,full_ftv,11,1216.042381,True,0,0.396098
R108,nearest_neighbor,fast_only,16,1505.367879,True,0,0.006366
R108,nearest_neighbor,fast_repair,16,1505.367879,True,0,0.006366
R108,nearest_neighbor,fast_repair_merge,14,1514.847100,True,0,0.006366
R108,nearest_neighbor,fast_repair_merge_elim,11,1348.405534,True,0,0.006366
R108,nearest_neighbor,full_ftv,11,1311.921639,True,0,0.006366
R108,regret_insertion,fast_only,19,3139.545070,True,0,0.445086
R108,regret_insertion,fast_repair,19,3139.545070,True,0,0.445086
R108,regret_insertion,fast_repair_merge,19,3139.545070,True,0,0.445086
R108,regret_insertion,fast_repair_merge_elim,19,3139.545070,True,0,0.445086
R108,regret_insertion,full_ftv,18,2773.774426,True,0,0.445086
R109,greedy_insertion,fast_only,15,1683.322885,True,0,0.332799
R109,greedy_insertion,fast_repair,15,1683.322885,True,0,0.332799
R109,greedy_insertion,fast_repair_merge,15,1683.322885,True,0,0.332799
R109,greedy_insertion,fast_repair_merge_elim,14,1637.297674,True,0,0.332799
R109,greedy_insertion,full_ftv,14,1450.918736,True,0,0.332799
R109,nearest_neighbor,fast_only,19,1749.905313,True,0,0.007122
R109,nearest_neighbor,fast_repair,19,1749.905313,True,0,0.007122
R109,nearest_neighbor,fast_repair_merge,18,1690.005431,True,0,0.007122
R109,nearest_neighbor,fast_repair_merge_elim,14,1527.309145,True,0,0.007122
R109,nearest_neighbor,full_ftv,14,1477.529637,True,0,0.007122
R109,regret_insertion,fast_only,21,3064.361994,True,0,0.382779
R109,regret_insertion,fast_repair,21,3064.361994,True,0,0.382779
R109,regret_insertion,fast_repair_merge,21,3064.361994,True,0,0.382779
R109,regret_insertion,fast_repair_merge_elim,20,2970.240423,True,0,0.382779
