dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
RC105,regret_insertion,22,3307.234304,19,2284.915954,True,0,4.749807,13,1629.44,6,40.227069,False,SINTEF VRPTW 100 customers
RC106,greedy_insertion,16,2134.704888,16,1912.248501,True,0,5.480285,11,1424.73,5,34.218308,False,SINTEF VRPTW 100 customers
RC106,nearest_neighbor,20,2119.216083,15,1696.272823,True,0,0.024436,11,1424.73,4,19.059248,False,SINTEF VRPTW 100 customers
RC106,regret_insertion,23,3649.516308,19,2698.986224,True,0,4.528990,11,1424.73,8,89.438436,False,SINTEF VRPTW 100 customers
RC107,greedy_insertion,15,1885.188073,14,1590.095882,True,0,5.486436,11,1230.48,3,29.225658,False,SINTEF VRPTW 100 customers
RC107,nearest_neighbor,18,1952.328721,13,1645.991347,True,0,0.021585,11,1230.48,2,33.768232,False,SINTEF VRPTW 100 customers
RC107,regret_insertion,21,3643.257246,18,2423.096927,True,0,4.570456,11,1230.48,7,96.922902,False,SINTEF VRPTW 100 customers
RC108,greedy_insertion,13,1735.109771,12,1538.723102,True,0,5.734724,10,1139.82,2,34.997026,False,SINTEF VRPTW 100 customers
RC108,nearest_neighbor,15,1792.977703,13,1484.173656,True,0,0.020025,10,1139.82,3,30.211231,False,SINTEF VRPTW 100 customers
RC108,regret_insertion,22,4042.071359,21,3436.279680,True,0,4.516564,10,1139.82,11,201.475644,False,SINTEF VRPTW 100 customers
RC201,greedy_insertion,5,2181.225772,5,1853.341144,True,0,10.602053,4,1406.94,1,31.728513,False,SINTEF VRPTW 100 customers
RC201,nearest_neighbor,15,2468.245614,5,1910.064392,True,0,0.027437,4,1406.94,1,35.760188,False,SINTEF VRPTW 100 customers
RC201,regret_insertion,7,4036.745802,7,2684.620689,True,0,7.338572,4,1406.94,3,90.812735,False,SINTEF VRPTW 100 customers
RC202,greedy_insertion,5,2030.006042,5,1581.594046,True,0,11.096851,3,1365.65,2,15.812547,False,SINTEF VRPTW 100 customers
RC202,nearest_neighbor,13,2114.341605,5,1623.996992,True,0,0.022355,3,1365.65,2,18.917511,False,SINTEF VRPTW 100 customers
RC202,regret_insertion,6,3796.359116,6,2396.430510,True,0,7.215340,3,1365.65,3,75.479113,False,SINTEF VRPTW 100 customers
RC203,greedy_insertion,4,1804.899910,4,1397.268896,True,0,12.133956,3,1049.62,1,33.121405,False,SINTEF VRPTW 100 customers
RC203,nearest_neighbor,13,2073.990222,3,1549.865965,True,0,0.019762,3,1049.62,0,47.659721,True,SINTEF VRPTW 100 customers
RC203,regret_insertion,5,3071.976391,5,1882.444022,True,0,7.854087,3,1049.62,2,79.345289,False,SINTEF VRPTW 100 customers
